Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Central and Southern Florida Project for Flood Control and Other Purposes  Everglades National Park Modified Water Deliveries  New Information concerning Flood Mitigation to the 8.5 Square Mile Area (SMA)  Implementation  South Miami  Dade County  FL,Final Supplement,09/05/2000,08/04/2000,U.S. Army Corps of Engineers,,FL
Chesterfield Valley Flood Control Study  Improvement Flood Protection  City of Chesterfield  St. Louis County  MO,Draft,09/20/2000,08/04/2000,U.S. Army Corps of Engineers,,MT
Improving the Regulatory Process in Southwest Florida for the Review of Application for the Fill of Wetlands (US Army COE Section 404 Permit)  Lee and Collier Counties  FL,Final,09/14/2000,08/04/2000,U.S. Army Corps of Engineers,,FL
TX-45 Highway Project  Extending from Anderson Mill Road just west of US 183 to Farm-to-Market Road 685 (FM-685) east of I-35  Funding  Williamson and Travis Counties  TX,Final,08/31/2000,08/04/2000,Federal Highway Administration,,TX
Little Darby National Wildlife Refuge Establishment in the Little Darby Creek Watershed for Restoration  Preservation  Enhancement and Protection of Fish and Wildlife Resources  Madison and Union Counties  OH,Draft,08/23/2000,08/04/2000,Fish and Wildlife Service,,OH
Sodium-Bonded Spent Nuclear Fuel Treatment and Management  Candidate Disposal Sites are Argonne National Laboratory-West (ANL-W) located within the boundaries of the Idaho National Engineering and  Environmental Laboratory  ID and the Savannah River Sites (SRS) F-Area and L-Area  SC,Final,08/23/2000,08/04/2000,Department of Energy,,ID
Mon/Fayette Transportation Project  Improvements from Uniontown to Brownsville Area  Funding  USCGD Bridge Permit and COE Section 404 Permit  Fayette and Washington Counties  PA,Final,09/05/2000,08/04/2000,Federal Highway Administration,,PA
Lompoc United States Penitentiary (UPS) Construction and Operation of a new High-Securiyt Facility and Ancillary Structures on One of Three Sites located in the City of Lompoc  Funding  Santa Barbara County  CA,Draft,09/15/2000,08/04/2000,Bureau of Prisons,,CA
Augusta River Crossing Study  Reduction in Traffic Deficiences within the Transportation System Serving the City of Augusta  Funding and USCGD Bridge Permit  Kennebec River  Kennebec County  ME,Final,09/05/2000,08/04/2000,Federal Highway Administration,,ME
PROGRAMMATIC - Accomplishing Expanded Civilian Nuclear Energy Research and Development and Isotope Production Missions in the US  Including the Role of the Fast Flux Test  ID  TN  and WA,Draft,09/19/2000,07/28/2000,Department of Energy,,ID
Point Mugu Sea Range Naval Air Warfare Center Weapons Division (NAWCWPNS)  Proposes to Accommodate TMD Testing and Training  Additional Training Exercises  and Facility Modernization  Ventura  Los Angeles  Santa Barbara  San Diego and San Luis Obispo Counties  CA,Draft,10/04/2000,07/28/2000,United States Navy,,CA
Bolsa Chica Lowlands Restoration Project  Creation of Wetland and Habitat Areas  Approval and Issuance of USCOE Section 404 and USCGD Bridge Permits  Orange County  CA,Draft,10/16/2000,07/28/2000,Fish and Wildlife Service,,CA
Southern Trails Pipeline Project  (CP99-163-000) Conversion of an existing Crude Oil Pipeline (known as the ARCO Four Corners Pipeline 90 System) to Natural Gas Service  Construction and Operation  CA  UT  AZ and NM,Final,08/17/2000,07/28/2000,Federal Energy Regulatory Commission,,CA
Meadowlands Mills Project  Construction of a Mixed-Use Commercial Development  Permit Application Number 95-07-440-RS  US Army COE Section 10 and 404 Permits Issuance  Boroughs of Carlstadt and Moonachie  Township of South Hackensack  Bergen County  NJ,Draft,10/11/2000,07/28/2000,U.S. Army Corps of Engineers,,NJ
South Fourth of July Ecosystem Restoration Project  Implementation  Salmon-Cobalt Ranger District  Salmon-Challis National Forest  Lemhi County  ID,Draft,09/08/2000,07/28/2000,Forest Service,,ID
Little East Creek Fuel Reduction Project  Plan to Grant Access Across Federal Land to Non-Federal Landowners  Implementation  LaCroix Ranger District  Superior National Forest  Saint Louis County  MN,Draft,09/11/2000,07/28/2000,Forest Service,,MN
I-96 East Howell Interchange Project  Transportation Improvements  Funding  Major Investment Study  Cities of Howell and Brighton  LIvington County  MI,Final,08/16/2000,07/21/2000,Federal Highway Administration,,MI
Simpson Washington Timberlands  Forest Management and Timber Harvesting  Proposed Issuance of a Multiple Species Incidental Take Permit  Thurston  Mason and Gray Harbor Counties  WA,Final,08/21/2000,07/21/2000,Fish and Wildlife Service,,WA
PROGRAMMATIC - CALFED Bay-Delta Program Development and Implementation of a Long-Term Comprehensive Plan to Restore Ecological Health and Improve  Water Management  San Francisco Bay - Sacramento/San Joaquin River  Bay-Delta  CA,Final,08/23/2000,07/21/2000,Bureau of Reclamation,,CA
Animas-La Plata Project (APL Project)  Municipal and Industrial  Water Supply  Reservoir Construction in Ridges Basin  Implementation and Water Acquisition  Additional Information concerning Project Alternatives Developed in 1996 through 1997  CO and NM,Second Final Supplemental,08/22/2000,07/21/2000,Bureau of Reclamation,,CO
George Bush Intercontinental Airport/Houston Construction and Operation  Runway 8L-26R and Associated Near Term Master Plan Projects  Funding and Airport Layout Plan Approval  City of Houston  Harris County  TX,Final,08/25/2000,07/21/2000,Federal Aviation Administration,,TX
Monroe Mountain Ecosystem Restoration Project  Implementation  Richfield Ranger District  Fishlake National Forest  Sevier and Piute Counties  UT,Final,08/21/2000,07/21/2000,Forest Service,,UT
PROGRAMMATIC - Maglev Deployment Program  Development and Construction of an Operating Pubic Transportation System using Magnetic Levitation  Grants Issuance  CA  FL  GA  LA  MD  NV and PA,Draft,09/05/2000,07/21/2000,Federal Railroad Administration,,FL
Anthony Lakes Mountain Resort Master Development Plan  Upgrading and Additional Development  Approval  Baker Ranger District  Wallowa-Whitman National Forest  Grant  Union and Baker Counties  OR,Draft,09/06/2000,07/21/2000,Forest Service,,OR
Airport Forest Health Project  Forest Health Improvements through Reduction of Fuel Loads and Fire Hazards and Wildlife Habitat Improvements  Pacific Ranger District  Eldorado National Forest  El Dorado and Placer Counties  CA,Draft,09/12/2000,07/21/2000,Department of Agriculture,,CA
South I-25 and US 85 Corridors Improvements  CO-470 to Castle Rock  Funding  Douglas County   CO,Draft,09/07/2000,07/21/2000,Federal Highway Administration,,CO
Colorado River Interim Surplus Criteria  To Determine Water Surplus for Use within the States of Arizona  CA  and NV (from 2001 through 2015)  Colorado River Basin  AZ  CA and NV,Draft,09/08/2000,07/14/2000,Bureau of Reclamation,,AZ - CA
Silver Creek Integrated Resource Project  Implementation  Middle Fork Payette River  Boise National Forest  Boise and Valley Counties  ID,Final,07/19/2000,07/14/2000,Forest Service,,ID
Marine Corps Heritage Center (MCHC) Complex  Construction and Operation  Marine Corps Base (MCB) Quantico  VA,Draft,09/01/2000,07/14/2000,United States Navy,,VA
Guardian Pipeline Project  Propose to Construct and Operate an Interstate Natural Gas Pipeline  extending from Joliet (Will County)  IL and Ixonia (Jefferson County)  WI,Draft,08/28/2000,07/14/2000,Federal Energy Regulatory Commission,,IL
US Highway 183 Alternate Project  Improvements from RM-620 to approximately three miles north of the City of Leander  Williamson County  TX,Draft,08/25/2000,07/14/2000,Federal Highway Administration,,TX
Cleveland Hopkins International Airport   To Provide Capacity  Facilities  Highway Improvements and Enhancement to Safety  Fundings  Cuyahoga County  OH,Final,08/11/2000,07/14/2000,Federal Aviation Administration,,OH
Legacy Parkway Project   Construction from I-215 at 2100 North in Salt Lake City to I-15 and US 89 near Farmington  Funding and COE Section 404 Permit  Salt Lake and Davis Counties  UT,Final,09/01/2000,07/14/2000,Federal Highway Administration,,UT
REGULATION - Importation of Unmanufactured Wood Articles from Mexico  With Consideration for Cumulative Impact of Methyl Bromide Use  Proposed Rule,RD,08/25/2000,07/14/2000,Animal and Plant Health Inspection Service,,
Dare County Beaches (Bodie Island Portion) Hurricane Wave Protection and Beach Erosion Control   Towns of Nags Head  Kill Devil Hills  Kitty Hawk  Dare County  NC,Draft,08/28/2000,07/14/2000,U.S. Army Corps of Engineers,,NC
Contra Costa Water District Multi-Purpose Pipeline (MPP) Project  Construction and Operation of Raw Water Delivery Systems  Contra Costa Canal  COE Section 10 and 404  Permits  Contra Costa County  CA,Final,08/03/2000,07/14/2000,Bureau of Reclamation,,CA
Great Egg Harbor National Scenic and Recreation River  Comprehensive Management Plan  Implementation  Atlantic Gloucester  Camden and Cape May Counties  NJ,Final,08/08/2000,07/14/2000,National Park Service,,NJ
John Day River Proposed Management Plan  Implementation  Two Rivers and John Day Resource Management Plan Amendments  John Day River Basin  Several Counties  OR,Final,08/14/2000,07/14/2000,Bureau of Land Management,,OR
Union County Multipurpose Reservoir/Other Water Supply Alternatives Project   Adequate and Reliable Water Supply Provisions  COE Section 404 Permit and NPDES Permit  City of New Alban  Union County  MS,Final,08/07/2000,07/07/2000,Tennessee Valley Authority,,MS
Murrieta  Creek Flood Control and Protection  Implementation  Riverside County  CA,Draft,09/05/2000,07/07/2000,U.S. Army Corps of Engineers,,CA
Tim Ford Reservoir Land Management and Disposition Plan  Approvals  Tim Ford Reservoir   Franklin and Moore Counties  TN,Final,07/20/2000,07/07/2000,Tennessee Valley Authority,,TN
Tellico Reservoir Comprehensive Land Management Plan  Implementation  Severn Mainstream and Two Tributary  Reservoirs  Blount  Lincoln and Monroe Counties  TN,Final,07/26/2000,07/07/2000,Tennessee Valley Authority,,TN
Rancho Palos Verdes Restoration Project  Implementation  City of Rancho Palos Verdes  Los Angeles County  CA,Draft,08/18/2000,07/07/2000,U.S. Army Corps of Engineers,,CA
Anacapa Island Restoration Project  Implementation  Channel Islands Nation Park  Ventura County  CA,Draft,08/17/2000,07/07/2000,National Park Service,,CA
Florida Keys National Sanctuary Comprehensive Management Plan  New Information Concerning the Establishment of  theTortugas Marine Reserves in Seven Fishery Management  Plan Amendments  in the Gulf of Mexico,Second Draft Supplemental,08/18/2000,07/07/2000,National Oceanic and Atmospheric Administration,,
King Coal Highway Project  Construction from the vicinity of Williamson to the vicinity of Bluefield  Funding and COE Section 404 Permit  Mingo  McDowell  Mercer and Wyoming Counties  WV,Final,08/14/2000,07/07/2000,Federal Highway Administration,,WV
Jack Morrow Hills Coordinated Activity Plan  Implementation  Rock Springs  Portions of Sweetwater  Fremont  and Sublette Counties  WY,Draft,10/09/2000,07/07/2000,Bureau of Land Management,,WY
MO-50/West-Central Corridor Location Study  Transportation Improvements  Salia to St. Martins  Pettis  Cooper  Morgan and Moniteau and Cole Counties  MO,Final,08/07/2000,07/07/2000,Federal Highway Administration,,MO
John T. Myers and Greenup Lock Improvements  To Alleviate Commerical Navigation Traffic  Congestion  Ohio River Mainstem Systems Study  (ORMSS)  Interim Feasibility Report  Indiana  Kentucky and Ohio,Final,08/07/2000,07/07/2000,U.S. Army Corps of Engineers,,ID
Merced Wild and Scenic River Comprehensive Management Plan  Implementation  Yosemite National Park  and the El Portal Administrative Site  Tuolumne  Merced  Mono  Mariposa  and Madera Counties  CA,Final,07/11/2000,07/07/2000,National Park Service,,CA
Central Arizona Project (CAP)  Allocation of Water Supply and Long-Term Contract Execution  Maricopa  Pinal  and Pima Counties  AZ,Draft,08/29/2000,06/30/2000,Bureau of Reclamation,,AZ
West Mountain North Project  Timber Harvest  Road Construction and Reconstruction  Boise National Forest  Cascade Range District  Valley County  ID,Draft,08/21/2000,06/30/2000,Forest Service,,ID
F. E. Warren Air Force Base Deactivation and Dismantlement of the Peacekeeper Missile System  To Comply with the Strategic Arms Reduction Treaty (START)  Laramie  Platte and Goshen Counties  WY,Draft,08/17/2000,06/30/2000,United States Air Force,,WY
JEA Circulating Fluidized Bed (CFB) Combuster Project   300 Megawatt-Electric  Coal and Petroleum Coke-Fired   CFB Combustor and Boiler to Repower an existing Steam Turbine a t JEA;s Northside Generating Station Construction and Operation  Funding  Jacksonville  Duval County  FL,Final,07/31/2000,06/30/2000,Department of Energy,,FL
Treating Transuranic (TRU)/Alpha Low-Level Waste at the Oak Ridge National Laboratory  Construct  Operate and Decontaminate/Decommission of Waste Treatment Facility  Oak Ridge  TN,Final,07/19/2000,06/30/2000,Department of Energy,,TN
Antelope Valley Study  Implementation of Stormwater Management  Transportation Improvements and Community Revitalization  Major Investment Study  City of Lincoln  Lancaster County  NE,Draft,08/23/2000,06/30/2000,Federal Highway Administration,,NE
New Mexico Forest  Highway 45 (Forest Road 537) known locally as the Sacramento River Road  Improvements from Sunspot to Timberon  Otero County  NM,Final,07/24/2000,06/30/2000,Federal Highway Administration,,NM
Rio de Flag Flood Control Study  Improvement and Flood Protection  to Reduce Damages to Residential Commercial  Industrial and Historic Property  City of Flagstaff  Coconino County  AZ,Revised Draft,08/14/2000,06/30/2000,U.S. Army Corps of Engineers,,AZ
Upper Newport Bay Restoration Project  To Develop a Long-Term Management Plan to Control Sediment Deposition  Orange County  CA,Draft,08/14/2000,06/30/2000,U.S. Army Corps of Engineers,,CA
Whitewater River Basin (Thousand Palms) Flood Control Project  Construction of Facilities to Provide Flood Protection  Coachella Valley  Riverside County  CA,Draft,08/14/2000,06/30/2000,U.S. Army Corps of Engineers,,CA
PROGRAMMATIC - Green/Duwamish River Basin Restoration Program  Capitol Improvement Type Program and Ecological Health  King County  WA,Draft,08/10/2000,06/30/2000,U.S. Army Corps of Engineers,,WA
ADOPTION - Woodrow Wilson Bridge Improvements  Updated Information concerning the Changes and Discussions in differences between Alternative 4A of the September 1997 FEIS and Current Design Alternative 4A  I-95/I-495 (Capital Beltway)  Telegraph Road to MD-210  Funding  COE Section 10 and 404 Permits  CGD Bridge Permit Issuance  City of Alexandria  Fairfax County  VA; Prince George's County  MD and DC,Final,07/12/2000,06/30/2000,National Capital Planning Commission,,DC - MD
CA-238 Construction  near Industrial Parkway to  CA-238/I-580 Interchange  Funding  COE Section 404 Permit  City of Hayward  Alameda County  CA,Final,07/31/2000,06/30/2000,Federal Highway Administration,,CA
Southeast Issaquah Bypass Construction  Connecting Issaquah-Hobart Road in the South with I-90 at the Sunset Interchange  Right-of-Way Permit  NPDES Permit and COE Section 404 Permit  King County  WA,Draft,09/28/2000,06/30/2000,Federal Highway Administration,,WA
Myrtle-Cascade Project  Implementation of Resource Management Activities  Idaho Panhandle National Forests  Bonners Ferry Ranger District  Boundary County  ID,Draft,08/21/2000,06/30/2000,Forest Service,,ID
PROGRAMMATIC - Upper Trinity River Basin Feasibility Study  To Provide Flood Damage Reduction  Environmental Restoration  Water Quality Improvement and Recreational Enhancement  Trinity River  Dallas-Fort Worth Metroplex  Dallas  Denton and Tarrant Counties  TX,Final,07/28/2000,06/30/2000,U.S. Army Corps of Engineers,,TX
Tres Rios Feasibility Study Project  Ecosystem Restoration  Located at thte Salt  Gila and Agua Fria Rivers  City of Phoenix  Maricopa County  AZ,Final,07/21/2000,06/30/2000,U.S. Army Corps of Engineers,,AZ
Republican River Basin Long-Term Water Supply Contract Renewals for Five Irrigation Districts  Frenchman-Cambridge  Frenchman Valley and Bostwick Irrigation District in Nebraska and Bostwick No. 2 and Almena Irrigation Districts on Kansas  NB and KS,Final,07/14/2000,06/30/2000,Bureau of Reclamation,,NE
Voyageurs National Park General Management  Visitor Use and Facilities Plans  Implementation  Koochiching and St. Louis Counties  MN,Draft,10/23/2000,06/23/2000,National Park Service,,MN
PROGRAMMATIC - Rock Mining - Freshwater Lakebelt Plan  Limestone Mining Permit  Section 404 Permit  Implementation  Miami-Dade County  FL,Final,09/27/2000,06/23/2000,U.S. Army Corps of Engineers,,FL
Sound Transit Lakewood-to-Tacoma Commuter Rail and WA-512 Park and Ride Expansion  Construction and Operation  Central Puget Sound Regional Transit Authority  City of Tacoma and City of Lakewood  WA,Draft,08/11/2000,06/23/2000,Federal Transit Administration,,WA
Dry Valley Mine - South Extension Project  Construction of two New Open Pit Mine  Special-Use-Permit  COE Section 404 Permit  Public and Private Land Used  Caribou County  ID,Final,07/24/2000,06/23/2000,Bureau of Land Management,,ID
Skull Valley Band of Goshute Indians Reservation Project  Construction and Operation of Independent Spent  Fuel Storage Installation and Related Transportation Facilities Permits and Approvals  Tooele County  UT,Draft,09/21/2000,06/23/2000,Nuclear Regulatory Commission,,UT
Loop 1 Extension Project  from Farm-to-Market Road FM-734 (Palmer Lander) to I-35  Funding  Travis and Williamson Counties  TX,Final,07/21/2000,06/23/2000,Federal Highway Administration,,TX
Madan Timber Sale  Implementation  Tongass National Forest  Wrangell Ranger District  COE Section 404 Permit and NPDES Permit  AK,Draft,08/22/2000,06/23/2000,Forest Service,,AK
Dry Tortugas National Park General Management Plan  Implementation  Monroe County  FL,Draft,07/31/2000,06/23/2000,National Park Service,,FL
Guadalupe River Flood Control and Adjacent Streams Investigation  Proposed Modifications to the Guadalupe River Project  Downtown San Jose  Santa Clara County  CA,Draft Supplement,08/09/2000,06/23/2000,U.S. Army Corps of Engineers,,CA
Transmission System Vegetation Management Program  Implementation  Managing Vegetation  Site Specific  Right-Of-Way Grant  CA  ID  MT  OR  UT  WA  and WY,Final,07/21/2000,06/23/2000,Department of Energy,,CA - WA - MT - OR - WY - ID
Chicago-St. Louis High-Speed Rail Project  Improvement from Chicago to St. Louis to enhance the Passenger Transportation Network  NPDES Permit and COE Section 404 Permit  Several Counties  IL and St. Louis County  MO,Draft,08/03/2000,06/23/2000,Federal Highway Administration,,IL
Potter Valley Project  Proposed Changes in Minimum Flow Requirements  License Amendment  (FERC Project No. 77-110)  Lake and Mendocino Counties  CA,Final,07/24/2000,06/23/2000,Federal Energy Regulatory Commission,,CA
Atlantic Tuna  Swordfish and Sharks  Highly Migratory Species Fishery Management Plan  Updated Information  Reduction of Bycatch and Incidental  Catch in the Atlantic Pelagic Longline Fishery,Final Supplement,07/14/2000,06/16/2000,National Oceanic and Atmospheric Administration,,
Delta Wetlands Project  Construction and Operation Revised Information for the Water Storage Project on Four Islands in the Sacramento - SanJoaquin Delta  Approval of Permits  San Joaquin and Contra Costa Counties  CA,Revised Draft,08/08/2000,06/16/2000,U.S. Army Corps of Engineers,,CA
Whitman Mission National Historic Site  General Management Plan  Development Concept Plan  Implementation  Walla Walla County  WA,Final,06/21/2000,06/16/2000,National Park Service,,WA
Cane River Creole National Historical Park  General Management Plan  Implementation  Natchitoches Parish  LA,Draft,08/15/2000,06/16/2000,National Park Service,,LA
Skipping Cow Timber Sale  Harvesting Timber  South half of Zarembo Island  Tongass National Forest  Wrangell Ranger District  AK,Final,07/19/2000,06/16/2000,Forest Service,,AK
Fernow Experimental Forest  Implementation of New  Research Studies  Monongahela National Forest Land and Resource Management Plan  Tucker County  WV,Draft,08/08/2000,06/16/2000,Forest Service,,WV
Wolf River Ecosystem Restoration  Memphis and Tennessee Feasibility Study  Marshall  Benton and Tippah Counties  MS and Shelby  Fayette and Harderman  TN,Draft,07/31/2000,06/16/2000,U.S. Army Corps of Engineers,,TN
Lower Mikelumne River Restoration Program  Implementation  Resource Management Plan  San Joaquin County  CA,Final,06/22/2000,06/16/2000,Bureau of Reclamation,,CA
WITHDRAWN - New Porters Bayou Watershed Plan  Reducing Flood and Drainage Damage to Cropland  Improvements to Watershed Channels  City of Shaw .  Bolivar and Sunflower Counties  MS,Draft,07/25/2000,06/16/2000,Natural Resource Conservation Service,,MS
South Manti Timber Salvage  To Address Ecological and Economic Values affected by Spruce Beetle Activity in the South Manti Project  Manti-La National Forest  Ferron-Price and Sanpete Ranger Districts  Sanpete and Sevier Counties  UT,Final,11/14/2000,06/16/2000,Forest Service,,UT
Sand Creek Watershed Restoration Project  To Develop Environmental Restoration  City of Wahoo  Saunders County  NE,Draft,07/27/2000,06/16/2000,U.S. Army Corps of Engineers,,NE
Clark County Multiple Species Habitat Conservation Plan  Issuance of a Permit to Allow Incidental Take-of-79 Species  Clark County  NV,Draft,07/24/2000,06/09/2000,Fish and Wildlife Service,,NV
PROGRAMMATIC - Kelly Air Force Base (AFB)  Disposal and Reuse  Implementation  San Antonio County  TX,Draft Supplement,08/11/2000,06/09/2000,United States Air Force,,TX
Colusa Basin Drainage District  Developing an Integrated Resource Management Program for the Control of Flooding  Glenn  Colusa and Yolo Counties  CA,Draft,08/23/2000,06/09/2000,Bureau of Reclamation,,CA
Department of Transportation Headquarters  Proposal to Lease 1.3 to 1.35 Million Rentable Square Feet of Consolidated and Upgraded Space  Five Possible Sites  Located in the Central Employment Area  Washington  DC,Draft,07/12/2000,06/09/2000,General Services Administration,,DC
Swamp Timber Sales Project  Implementation  Kootenai National Forest  Fortine Ranger District  Lincoln County  MT,Final,06/07/2000,06/09/2000,Forest Service,,MT
State of Wyoming School Section 16 T.12N.  R.83W.  6th P.M.  Issuing a Forest Road Special-Use-Permit for Access  Medicine Bow-Routt National Forests  Brush Creek/Hayden Ranger District  Carbon County  WY,Draft,07/27/2000,06/09/2000,Forest Service,,WY
North Spokane Corridor (formerly known as the North Spokane Freeway) New Information  Improvements Tranportation through the City of Spokane and Spokane County between I-90  Spokane County  WA,Draft Supplement,07/31/2000,06/09/2000,Federal Highway Administration,,WA
Gunflint Corridor Fuel Reduction  Implementation  Superior National Forest  Gunflint Ranger District  Cook County  MN,Final,07/07/2000,06/09/2000,Forest Service,,MN
Albany Shaker Road and Watervliet Shakey Road Improvement Project  Construction and Reconstruction  Funding and COE Section 404 Permit  Town of Colonie  Albany County  NY,Final,07/10/2000,06/02/2000,Federal Highway Administration,,NY
North Pacific Acoustic Laboratory Project  Reuse of Low Frequency Sound Source and Cable for Use in Acoustic Thermometry of Ocean Climate (ATOC) Research  Kauai  HI,Draft,07/17/2000,06/02/2000,United States Army,,HI
Starbucky Restoration Project  Implementation of Vegetative Treatment  Road Construction and Watershed Improvements  Nez Perce National Forest  Red River Ranger District  Idaho County  ID,Draft,07/20/2000,06/02/2000,Forest Service,,ID
North Shore Connector  Extending existing Light Rail Transit (LRT) System from Golden Triangle of downtown Pittsburgh to the North Shore  Funding  USCG Bridge Permit  NPDES Permit   and COE Section 10 and 404  Permits  Allegheny County  PA,Draft,01/30/2001,06/02/2000,Federal Transit Administration,,PA
Tweed-New Haven Airport Runway Safety Area and Taxiway Improvements  Safety Improvements to Runway 2/20 and Taxiways 'B' and 'E'  Funding  COE Section 10 and 404 Permits  New Haven County  CT,Final,06/26/2000,06/02/2000,Federal Aviation Administration,,CT
Boston Harbor Islands National Recreation Area  Implementation  General Management Plan  Boston  MA,Draft,07/28/2000,06/02/2000,National Park Service,,MA
Destination Broadwater Project  Proposed Redevelopment and Construction of a Large-Scale Casino Destination Resort in Biloxi  Approval of Permits for Section 10 of the River and Harbor Act and Section 404 of the CWA  Harrison County  MS,Draft,07/17/2000,06/02/2000,U.S. Army Corps of Engineers,,MS
Shawnee Highway Project  Construction between the Ghent Interchange of I-77 in the North and McDowell County 14 or  McDowell County 17 in the South  Funding  McDowell  Raleigh and Wyoming Counties  WV,Draft,08/23/2000,06/02/2000,Federal Highway Administration,,WV
Soledad Canyon Sand and Gravel Mining Project  Proposal to Mine  Produce and Sell  'Split Estate' Private Owned and Federally Owned Lands  Transit Mixed Concrete  Los Angeles County  CA,Final,07/11/2000,06/02/2000,Bureau of Land Management,,CA
City of Monterey Park Project  Construction and Operation of the Monterey Park Towne Plaza  North of  the Pomona Freeway and west of Paramount Boulevard  Los Angeles County  CA,Final,06/27/2000,06/02/2000,Department of Housing and Urban Development,,CA
Pinedale Anticline Oil and Gas Exploration and Development  Natural Gas Wells Project  Implementation   Sublette County  WY,Final,07/10/2000,06/02/2000,Bureau of Land Management,,WY
Northern Sierra Amendment to the Toiyabe Land and Resource Management  to Unify and Revise Management Direction  Humboldt-Toiyabe National Forest  Carson Ranger District  Stanislaus National Forest  Lake Tahoe Basin Management Unit  Douglas and Washoe Counties  NV and Alpine and Toulomne Counties  CA,Draft,08/30/2000,06/02/2000,Forest Service,,NV
Rocky Mountain Front Mineral Withdrawal  Imnplementation  Helena and Lewis and Clark National Forests  Great Falls  MT,Draft,07/10/2000,06/02/2000,Forest Service,,MT
East Side Access Project  Improve Access to Manhattan's East Side for Commuters in the Long Island Transportation Corridor (LITC)   MTA Long Island Rail Road (LIRR)  Funding  Nassau  Suffolk  New York  Queens and Bronx Counties  NY,Draft,07/14/2000,05/26/2000,Federal Transit Administration,,NY
FL-423 (John Young Parking)  Improvements from FL-50 to FL-434  City of Orlando  Orange County  FL,Final,06/23/2000,05/26/2000,Federal Highway Administration,,FL
Targhee National Forest Plan  Oil and Gas Leasing Analysis  Implementation  Bonnevelle  Butte  Clark  Fremont  and Madison Counties  ID; and Teton County  WY,Final,07/11/2000,05/26/2000,Forest Service,,ID
Discovery Ski Area Expansion  Implementation  Special-Use- Permit  and COE Section 404 Permit  Beaverhead-Deerlodge National Forest  Pintler Ranger Distirct  Rumsey Mountain  Granite County  MT,Draft,07/06/2000,05/26/2000,Forest Service,,MT
U. S. Courthouse Springfield  Construction  Hampden County  MA,Draft,06/26/2000,05/26/2000,General Services Administration,,MA
Jackson County Lake Project  Implementation  To Provide Adequate Water Supplies for the Projected Residential  Commercial and Industrial Needs  Funding and Possible COE Section 10 and 404 Permits  Jackson County  KY,Draft,07/10/2000,05/26/2000,Rural Utilities Service,,KY
Grand Parkway (TX-99) Segment C  Construction from US 59 to TX 288   Funding and Right-of-Way Requirements  City of Houston  Fort Bend and Brazoria Counties  TX,Draft,07/26/2000,05/26/2000,Federal Highway Administration,,TX
US Route 65/US Route 36 in Livingston County  Transportation Improvements  Funding and COE Section 404 Permits  Livingston County  MO,Draft,07/05/2000,05/26/2000,Federal Highway Administration,,MO
64 - Acre Tract Intermodal Transit Center  Construction and Operation   Lake Tahoe Basin Management Unit  Tahoe City  Placer County  CA,Draft,07/11/2000,05/26/2000,Forest Service,,CA
East Beaver and Miner's Creek Timber Sale and Prescribed Burning Project  Implementation  Caribou-Targhee National Forest  Dubois Ranger District   Clark County  ID,Draft,07/27/2000,05/26/2000,Forest Service,,ID
Schofield Barracks Wastewater Treatment Plant (WWTP)   Effluent Treatment and Disposal  NPDES Permit and COE Setion 404 Permit  City of County of Honolulu  Oahu  HI,Final,06/05/2000,05/26/2000,United States Army,,HI
Florida Keys National Marine Sanctuary (FKNMS)  Comprehensive Management Plan  Updated Information  Proposal to Establish a No-Take Ecological Reserve in the Tortugas Region  FL,Draft Supplement,07/31/2000,05/19/2000,National Oceanic and Atmospheric Administration,,FL
Tyndall Air Force Base  Implementation  Proposed Conversion of Two F-15 Fighter Squadrons to F-22 Fight Squadrons  FL,Final,06/05/2000,05/19/2000,United States Air Force,,FL
High Desert Power Project  Construction and Operation  A Combined-Cycle Nautral Gas Fueled Electrical Generation Power Plant  Approval of Incidental Taking Authorization Under Sections 7 and 10 of the Federal ESA  San Bernardino County  CA,Final,06/26/2000,05/19/2000,Fish and Wildlife Service,,CA
Reno Railroad Corridor  Implementation of Freight Railroad Grade Separation  in the Central Portion of the City of Reno  Washoe County  NV,Draft,07/07/2000,05/19/2000,Federal Highway Administration,,NV
Forest Service Roadless Area Conservation  Implementation Proposal to Protect Roadless Areas,Draft,07/14/2000,05/19/2000,Forest Service,,
LEGISLATIVE - Timbisha Shoshone Tribal Homeland  To  Establish a Permanent Tribal Land Base and Related Cooperative Activities  The Transfer of Federal Land and Acquisition of Private Land  Death Valley National Park  Saline Valley  CA and Lida Ranch near Lida  NV,Draft,08/17/2000,05/19/2000,National Park Service,,CA
Horse Creek Coal Lease Application (Federal Coal Lease Application WYW-141435)  Implementation  Campbell and Converse Counties  WY,Final,08/01/2000,05/19/2000,Bureau of Land Management,,WY
Snapper Grouper Fishery  Amendment 12 to the Fishery Management Plan  Regulatory Impact Review  South Atlantic Region,Third Final Supplemental,06/01/2000,05/12/2000,National Oceanic and Atmospheric Administration,,
Pendola Fire Restoration Project  Implementation  Tahoe National Forest   Downieville Ranger District  Yuba County  CA,Final,06/12/2000,05/12/2000,Forest Service,,CA
Natchez Trace Parkway  Construction of Section 3P13 (Old Agency Road Area)  Updated Information   Madison County  MS,Draft Supplement,07/10/2000,05/12/2000,National Park Service,,MS
