Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Revolution Wind Farm and Revolution Wind Export Cable Final Environmental Impact Statement,Final,,07/21/2023,Bureau of Ocean Energy Management,"EPA, NMFS, USACE, USCG",CT - MA - RI
Nez Perce Tribe Integrated Resource Management Plan,Final,,07/21/2023,Bureau of Indian Affairs,,ID
"St. Tammany Parish, Louisiana Feasibility Study",Revised Draft,08/31/2023,07/21/2023,U.S. Army Corps of Engineers,"USFWS, NMFS",LA
High Uintas Wilderness Domestic Sheep Analysis,Draft Supplement,,07/14/2023,Forest Service,,UT - WY
Crow Creek Pipeline Project,Draft Supplement,10/12/2023,07/14/2023,Forest Service,,ID - WY
Cumberland Project,Final,08/07/2023,07/07/2023,Federal Energy Regulatory Commission,"EPA, USACE",TN
Proposed Eastern Colorado Resource Management Plan and Environmental Impact Statement,Final,08/07/2023,07/07/2023,Bureau of Land Management,"EPA, USFS, NPS",CO
Draft Supplemental Environmental Impact Statement for Next Generation Delivery Vehicle Acquisitions,Draft Supplement,08/14/2023,06/30/2023,United States Postal Service,,DC - AK - AL - AQ - AR - AS - AZ - CA - CO - CT - DC - DE - FL - GA - GU - HI - IA - ID - IL - IN - KS - KY - LA - LEG - MA - MD - ME - MI - MN - MO - MS - MT - NAT - NC - ND - NE - NH - NJ - NM - NV - NY - OH - OK - OR - Other - PA - PR - PRO - REG - RI - SC - SD - TN - TT - TX - UT - VA - VI - VT - WA - WI - WV - WY
"Disposal of Decommissioned, Defueled Ex-Enterprise (CVN 65) and its Associated Naval Reactor Plants",Final,07/26/2023,06/30/2023,United States Navy,DOE,VA - AL - TX - WA
KC-46A Main Operating Base Beddown,Draft,08/14/2023,06/30/2023,United States Air Force,,CA - IN - OK
OBrien Road Access Modernization,Draft,08/14/2023,06/30/2023,National Security Agency,,MD
"Stillwater Mining Company, East Boulder Mine Amendment 004 Expansion EIS",Draft,08/09/2023,06/23/2023,Forest Service,,MT
One San Pedro Specific Plan Draft EIR/EIS,Draft,08/21/2023,06/23/2023,Los Angeles Housing Community Investment Department,,CA
SPSA Landfill Expansion DEIS,Draft,08/15/2023,06/16/2023,U.S. Army Corps of Engineers,EPA,VA
Southeastern Oregon Proposed Resource Management Plan and Final EIS,Final,,06/16/2023,Bureau of Land Management,USFWS,OR
Harris Reservoir Expansion Project Final Environmental Impact Statement Prepared for Permit Application No. SWG-2016-01027,Final,,06/16/2023,U.S. Army Corps of Engineers,"EPA, USFWS",TX
Final Mars Sample Return (MSR) Campaign Programmatic Environmental Impact Statement,Final,06/28/2023,06/02/2023,National Aeronautics and Space Administration,"USDA, HHS, USAF, USA",UT - FL
"ADOPTION - Beddown of a Foreign Military Sales Pilot Training Center at Ebbing Air National Guard Base, Arkansas or Selfridge Air National Guard Base, Michigan",Final,,06/02/2023,Federal Aviation Administration,,AR
Ocean Wind 1 Offshore Wind Farm,Final,06/26/2023,05/26/2023,Bureau of Ocean Energy Management,"DOD, EPA, USFWS, NMFS, NPS, NJDEP, USACE, USCG",NJ
Sequoia and Sierra National Forests Land Management Plans Revision,Final,,05/26/2023,Forest Service,EPA,CA
Greenlink West Project,Draft,,05/26/2023,Bureau of Land Management,"BIA, USFWS, NPS",NV
Kingston Fossil Plant Retirement,Draft,06/29/2023,05/19/2023,Tennessee Valley Authority,"EPA, NPS",TN
Atlantic Shores Offshore Wind South,Draft,06/29/2023,05/19/2023,Bureau of Ocean Energy Management,"ACHP, EPA, USFWS, NMFS, NPS, NJDEP, USACE, USCG",NJ
Washington Union Station Expansion Project,Draft Supplement,07/06/2023,05/19/2023,Federal Railroad Administration,"FTA, NCPC",DC
Moody Air Force Base Comprehensive Airspace Initiative,Final,06/20/2023,05/19/2023,United States Air Force,FAA,GA - FL
Mendenhall Glacier Visitor Facility Improvements,Final,06/12/2023,05/12/2023,Forest Service,NMFS,AK
Draft Legislative Environmental Impact Statement for the PL 106-65 Land Withdrawal Extension,Draft,,05/12/2023,United States Army,BLM,AK
Draft Amendment 15 to the 2006 Consolidated Atlantic Highly Migratory Species Fishery Management Plan,Draft,09/07/2023,05/05/2023,National Marine Fisheries Service,,NC - AL - FL - GA - LA - MS - SC
Miles City Field Office Draft Supplemental EIS and Potential Resource Management Plan Amendment,Draft Supplement,,05/05/2023,Bureau of Land Management,"EPA, OSM",MT
Buffalo Field Office Draft Supplemental Environmental Impact Statement and Potential Resource Management Plan Amendment,Draft Supplement,08/03/2023,05/05/2023,Bureau of Land Management,"EPA, USFWS, NPS, OSM",WY
Draft Supplemental Watershed Plan & Environmental Impact Statement for Etowah River Watershed Dam No. 13-A,Draft,06/12/2023,04/28/2023,Natural Resource Conservation Service,USACE,GA
Southern Monroe Mountain Allotments Livestock Grazing Authorization,Final,,04/28/2023,Forest Service,,UT
ADOPTION - PROGRAMMATIC - Habitat Restoration Activities Implemented throughout the Coastal United States,Final,,04/21/2023,Environmental Protection Agency,,PRO
Programmatic Environmental Impact Statement Addressing Vegetation Treatments Using Herbicides,Draft,06/02/2023,04/21/2023,Bureau of Land Management,,NAT
ADOPTION - 4FRI Rim Country Project,Final,,04/21/2023,Fish and Wildlife Service,,AZ
Virginia Reliability Project and Commonwealth Energy Connector Project,Draft,06/05/2023,04/21/2023,Federal Energy Regulatory Commission,"USFWS, USACE, USA",VA
Mountain Valley Pipeline and Equitrans Expansion Project,Final Supplement,05/15/2023,04/14/2023,Forest Service,BLM,VA - WV
WITHDRAWN - Near-term Colorado River Operations,Draft Supplement,,04/14/2023,Bureau of Reclamation,"BIA, USFWS, IBWC, NPS, WAPA",CO - AZ - CA - NM - NV - UT - WY
Spur 399 Extension,Final,,04/14/2023,Texas Department of Transportation,"EPA, USACE",TX
Wahpeton Expansion Project,Final,05/15/2023,04/14/2023,Federal Energy Regulatory Commission,,ND
U.S. Food and Drug Administration Muirkirk Road Campus Master Plan,Final,05/12/2023,04/14/2023,General Services Administration,FDA,MD
"Training and Public Land Withdrawal Extension, Fort Irwin, California",Final,,04/07/2023,United States Army,,CA
North Yuba Landscape Resilience Project,Final,,04/07/2023,Forest Service,,CA
Goldendale Energy Storage Project,Draft,06/05/2023,04/07/2023,Federal Energy Regulatory Commission,USACE,WA - OR
Youngs Rock Rigdon,Final,05/19/2023,04/07/2023,Forest Service,,OR
Sentinel (GSBD) Deployment and Minuteman III Decommissioning and Disposal,Final,05/01/2023,03/31/2023,United States Air Force,"BIA, BLM, BR, USFS, USACE",WY - AZ - MT - ND - UT
Tijuana Estuary Tidal Restoration Program II Phase I,Final,04/25/2023,03/31/2023,Fish and Wildlife Service,USACE,CA
Greens Creek Mine North Extension Project,Draft Supplement,,03/24/2023,Forest Service,"EPA, USACE",AK
Northern Lights 2023 Expansion Project,Final,04/13/2023,03/17/2023,Federal Energy Regulatory Commission,,MN - WI
Hungry Ridge Restoration Project,Draft Supplement,,03/10/2023,Forest Service,,ID
Amendment 6 to the Fishery Management Plan for West Coast Highly Migratory Species Fisheries: Authorization of Deep-set Buoy Gear,Final,03/07/2023,03/03/2023,National Oceanic and Atmospheric Administration,,CA
"Draft Generic Environmental Impact Statement for License Renewal of Nuclear Plants (NUREG-1437) Volume 1 and 2, Revision 2",Draft,04/27/2023,03/03/2023,Nuclear Regulatory Commission,,REG
Southside Reliability Enhancement Project,Final,04/03/2023,03/03/2023,Federal Energy Regulatory Commission,,NC - VA
Airspace Optimization for Readiness for Mountain Home Air Force Base,Final,,03/03/2023,United States Air Force,FAA,ID - NV - OR
Venice Extension Project,Final,03/22/2023,02/24/2023,Federal Energy Regulatory Commission,,LA
Lafayette Regional Xpressway Tier 1,Final,,02/24/2023,Federal Highway Administration,"USACE, USCG",LA
Invasive and Other Select Plant Management on the Bighorn NF,Final,03/27/2023,02/24/2023,Forest Service,,WY
Mayflower Wind Project,Draft,,02/17/2023,Bureau of Ocean Energy Management,"EPA, NMFS, USACE, USCG",MA - RI
SunZia Southwest Transmission Project Right-of-Way Amendment,Final,03/14/2023,02/17/2023,Bureau of Land Management,"DOE, USFWS, USFS, NPS, USACE, USA",NM - AZ
Nantahala and Pisgah National Forests Final Environmental Impact Statement for the Land Management Plan,Final,03/14/2023,02/17/2023,Forest Service,BLM,NC
Colorado Gray Wolf 10(j) Rulemaking,Draft,04/18/2023,02/17/2023,Fish and Wildlife Service,"APHIS, BLM, USFS, NPS",CO - AZ - NM - UT
High Speed Rail Empire Corridor Tier 1,Final,03/20/2023,02/17/2023,Federal Railroad Administration,"EPA, FHWA, FTA, USCG",NY
Browns Ferry Nuclear Plant Subsequent License Renewal,Draft Supplement,03/27/2023,02/10/2023,Tennessee Valley Authority,,AL
Nez Perce Tribe Integrated Resource Managment Plan,Draft,,02/10/2023,Bureau of Indian Affairs,,ID
KC-46A- Main Operating Base No. 6 Beddown,Draft,03/24/2023,02/10/2023,United States Air Force,,FL - WA
"Heat and Electrical Upgrades at Fort Wainwright, Alaska",Final,03/13/2023,02/10/2023,Department of Defense,,AK
Cumberland Project,Draft,03/27/2023,02/10/2023,Federal Energy Regulatory Commission,"USACE, EPA",TN
"ADOPTION - Proposed Mid-Barataria Sediment Diversion Project in Plaquemines Parish, Louisiana",Final,,02/10/2023,National Oceanic and Atmospheric Administration,,LA
"ADOPTION - Proposed Mid-Barataria Sediment Diversion Project in Plaquemines Parish, Louisiana",Final,,02/10/2023,Department of Agriculture,,LA
"ADOPTION - Proposed Mid-Barataria Sediment Diversion Project in Plaquemines Parish, Louisiana",Final,,02/10/2023,Department of the Interior,,LA
"ADOPTION - Proposed Mid-Barataria Sediment Diversion Project in Plaquemines Parish, Louisiana",Final,,02/10/2023,Environmental Protection Agency,,LA
"NUREG-2183 Supplement 1, Environmental Impact Statement Related to the Operating License for the SHINE Medical Isotope Production Facility - Final Report",Final Supplement,,02/10/2023,Nuclear Regulatory Commission,DOE,WI
Gold Butterfly Project,Final Supplement,03/13/2023,02/03/2023,Forest Service,,MT
"Final Supplemental Environmental Impact Statement for the Willow Master Development Plan, Alaska",Final Supplement,03/02/2023,02/03/2023,Bureau of Land Management,"EPA, USFWS, USACE",AK
Canadian Pacific Acquisition of Kansas City Southern,Final,02/27/2023,02/03/2023,Surface Transportation Board,,MO
"Beddown of a Foreign Military Sales Pilot Training Center at Ebbing Air National Guard Base, Arkansas or Selfridge Air National Guard Base, Michigan",Final,02/27/2023,02/03/2023,United States Air Force,FAA,AR - MI
"Expansion and Modernization of the Raul Hector Castro Land Port of Entry and Proposed Commercial Land Port of Entry in Douglas, Arizona",Draft,03/13/2023,01/27/2023,General Services Administration,,AZ
Valley Connector Expansion Project,Final,02/27/2023,01/27/2023,Federal Energy Regulatory Commission,USACE,PA - OH - WV
CP2 LNG and CP Express Project,Draft,03/13/2023,01/27/2023,Federal Energy Regulatory Commission,"DOE, DOT, NOAA, USACE, USCG",LA - TX
Three Rivers Interconnection Project,Final,02/15/2023,01/20/2023,Federal Energy Regulatory Commission,"EPA, NRC",IL
US 380 McKinney,Draft,,01/20/2023,Texas Department of Transportation,"EPA, USACE",TX
Lava Ridge Wind Project,Draft,,01/20/2023,Bureau of Land Management,"USFWS, NPS, USACE",ID
North Dakota Resource Management Plan Revision,Draft,05/22/2023,01/20/2023,Bureau of Land Management,"EPA, USFWS, USFS, NPS, OSM, USACE",ND
Gulf of Mexico OCS Oil and Gas Lease Sales 259 and 261:  Final Supplemental Environmental Impact Statement,Final Supplement,02/13/2023,01/13/2023,Bureau of Ocean Energy Management,,LA - AL - FL - MS - TX
"Disposal of Mine Waste at the United Nuclear Corporation Mill Site in McKinley County, New Mexico",Final,02/09/2023,01/13/2023,Nuclear Regulatory Commission,,NM
Alaska LNG Project,Final Supplement,02/09/2023,01/13/2023,Department of Energy,,AK
I-35 Capital Express Central Project,Draft,,01/06/2023,Texas Department of Transportation,"USDA, EPA, NPS, USACE",TX
Mendenhall Glacier Visitor Facility Improvements,Draft Supplement,02/14/2023,01/06/2023,Forest Service,NMFS,AK
ADOPTION - Rebuild by Design - Hudson River (RBD-HR),Final,,12/30/2022,Federal Emergency Management Agency,,NJ
New England Wind Project,Draft,02/21/2023,12/23/2022,Bureau of Ocean Energy Management,"DOD, EPA, USFWS, NMFS, USACE, USCG, USN",MA
Mountain Valley Pipeline and Equitrans Expansion Project,Draft Supplement,02/15/2023,12/23/2022,Forest Service,BLM,VA - WV
Virginia Electrification Project,Final,01/23/2023,12/23/2022,Federal Energy Regulatory Commission,,VA
Thousand Palms Flood Control Project,Final,,12/23/2022,U.S. Army Corps of Engineers,USFWS,CA
Sunrise Wind Project,Draft,02/14/2023,12/16/2022,Bureau of Ocean Energy Management,"EPA, USFWS, NMFS, NPS, USACE, USCG",NY - MA - RI
Coastal Virginia Offshore Wind Commercial Project,Draft,02/14/2023,12/16/2022,Bureau of Ocean Energy Management,"DOD, EPA, USFWS, NMFS, NOAA, NPS, USACE, USCG, USN",VA
Moore County Solar,Final,,12/16/2022,Tennessee Valley Authority,,TN
Surplus Plutonium Disposition Program,Draft,03/16/2023,12/16/2022,National Nuclear Security Administration,,SC - NM - NV - TX
Telegraph Vegetation Project,Final Supplement,,12/16/2022,Forest Service,,MT
Delta Conveyance Project,Draft,03/16/2023,12/16/2022,U.S. Army Corps of Engineers,"EPA, USFWS, NMFS, BR",CA
ADOPTION - Puget Sound Nearshore Ecosystem Restoration,Final,,12/09/2022,Washington Department of Fish and Wildlife,,WA
Cumberland Fossil Plant Retirement,Final,,12/09/2022,Tennessee Valley Authority,EPA,TN
Bering Sea and Aleutian Islands Halibut Abundance-Based Management of Amendment 80 Prohibited Species Catch Limit - Amendment 123 to the Fishery Management Plan for Groundfish of the Bering Sea and Aleutian Islands Management Area,Final,01/13/2023,12/09/2022,National Marine Fisheries Service,,AK
West Shore Lake Pontchartrain Hurricane and Storm Damage Risk Reduction Study,Final Supplement,12/22/2022,12/02/2022,U.S. Army Corps of Engineers,"EPA, USFWS, NMFS, NRCS",LA
Walnut Ridge - Missouri State Line (Future I-57),Draft,01/10/2023,12/02/2022,Federal Highway Administration,"USDA, EPA, USFWS, USACE",AR
ADOPTION - Commonwealth LNG Project,Final,,11/25/2022,Department of Energy,,LA
GTN XPress Project,Final,12/15/2022,11/25/2022,Federal Energy Regulatory Commission,EPA,ID - OR - WA
Coquille Indian Tribe Fee to Trust Gaming Facility Project,Draft,02/23/2023,11/25/2022,Bureau of Indian Affairs,DOI,OR
Confederated Tribes of the Colville Reservation Integrated Resource Management Plan 2015,Final,,11/25/2022,Bureau of Indian Affairs,DOI,WA
Surveying and Mapping Projects in U.S. Waters for Coastal and Marine Data Acquisition,Final,,11/25/2022,National Oceanic and Atmospheric Administration,,PRO
Willamette Valley System Operations and Maintenance,Draft,02/22/2023,11/25/2022,U.S. Army Corps of Engineers,"BPA, BR, EPA, USFWS, NMFS",OR
Empire Offshore Wind,Draft,01/17/2023,11/18/2022,Bureau of Ocean Energy Management,"EPA, USFWS, MARAD, NOAA, USACE, USCG",NY
"I-94 East - West (16th Street - 70th Street) Milwaukee County, WI",Draft Supplement,01/26/2023,11/18/2022,Federal Highway Administration,"NPS, USACE",WI
Husky 1 North Dry Ridge Phosphate Mine,Final,12/14/2022,11/18/2022,Bureau of Land Management,"USACE, USFS",ID
Programmatic Environmental Impact Statement for the Marine Mammal Health and Stranding Response Program,Final,12/13/2022,11/18/2022,National Marine Fisheries Service,APHIS,PRO
North Yuba Landscape Resilience Project,Draft,,11/18/2022,Forest Service,,CA
United States-Mexico-Canada Agreement Mitigation of Contaminated Transboundary Flows Project,Final,,11/18/2022,Environmental Protection Agency,IBWC,CA
Elliott State Research Forest Habitat Conservation Plan,Draft,12/15/2022,11/18/2022,Fish and Wildlife Service,NMFS,OR
I-10 Calcasieu River Bridge Improvements,Draft,12/22/2022,11/18/2022,Federal Highway Administration,"FRA, USACE, USCG",LA
Loop 9 Segment A,Draft,,11/10/2022,Texas Department of Transportation,"EPA, USFWS, USACE",TX
Predator Damage Management in Oregon,Draft,12/15/2022,11/10/2022,Department of Agriculture,"BLM, USFS",OR
The State University of New York College of Environmental Science and Forestry Petition (19-309-01p) for Determination of Nonregulated Status for Blight-Tolerant Darling 58 American Chestnut (Castanea dentata),Draft,12/20/2022,11/10/2022,Animal and Plant Health Inspection Service,,NAT
Wahpeton Expansion Project,Draft,12/22/2022,11/10/2022,Federal Energy Regulatory Commission,FERC,ND
Mars Sample Return (MSR) Campaign Programmatic Environmental Impact Statement,Draft,12/07/2022,11/04/2022,National Aeronautics and Space Administration,"USDA, DOD, HHS",UT - FL
Draft Site-Wide Environmental Impact Statement for Continued Operation of the Lawrence Livermore National Laboratory,Draft,,11/04/2022,National Nuclear Security Administration,,CA
Sugar Pine Project Water Right 15375 Extension and Radial Gates Installation,Final,11/28/2022,11/04/2022,Forest Service,,CA
Programmatic Environmental Impact Statement for Oil and Gas Decommissioning Activities on the Pacific Outer Continental Shelf,Draft,01/10/2023,10/28/2022,Bureau of Ocean Energy Management,USACE,CA
"Outer Continental Shelf (OCS) Alaska Region, Cook Inlet Planning Area, Oil and Gas Lease Sale 258",Final,11/28/2022,10/28/2022,Bureau of Ocean Energy Management,,AK
Stibnite Gold Project,Draft Supplement,01/10/2023,10/28/2022,Forest Service,"EPA, USACE",ID
